new_eq_id;term
1;http://it.dbpedia.org/resource/Barack_Obama
1;http://wikidata.dbpedia.org/resource/Q76
1;http://pt.dbpedia.org/resource/Barack_Obama
1;http://fr.dbpedia.org/resource/Barack_Obama
1;http://nl.dbpedia.org/resource/Barack_Obama
1;http://id.dbpedia.org/resource/Barack_Obama
1;http://data.europa.eu/euodp/jrc-names/Barack_Obama
1;http://data.nytimes.com/47452218948077706853
1;http://es.dbpedia.org/resource/Barack_Obama
1;http://viaf.org/viaf/52010985
1;http://www.bbc.co.uk/things/5e519ba4-2594-4118-a641-cdf75cd8ce46#id
1;http://pl.dbpedia.org/resource/Barack_Obama
1;http://caligraph.org/resource/Barack_Obama
1;http://oekg.l3s.uni-hannover.de/resource/entity_20672413
1;http://dbkwik.webdatacommons.org/resource/UzpYWTAuF2kSsr9AkCU1MQ==
1;https://en.wikipedia.org/wiki/Barack_Obama
1;http://data.nytimes.com/obama_barack_per
1;http://rdf.freebase.com/ns/en.barack_obama
1;http://yago-knowledge.org/resource/Q76
1;http://www.idref.fr/118177257/id
1;http://www.viaf.org/viaf/52010985
1;http://fo.dbpedia.org/resource/Barack_Obama
1;http://mt.dbpedia.org/resource/Barack_Obama
1;http://mzn.dbpedia.org/resource/باراک_اوباما
1;https://en.wikipedia.org/wiki/Barack_Obama#this
